,Month,Year,Type,Area,Sex,Fatal (Y/N)
459,September,2000,Unprovoked,Florida,M,N
460,June,2000,Unprovoked,Texas,M,N
461,September,1999,Unprovoked,Florida,M,N
462,August,1999,Unprovoked,Florida,M,N
463,August,1999,Unprovoked,Florida,M,N
464,July,1999,Unprovoked,Hawaii,M,N
465,August,1997,Unprovoked,Florida,M,N
466,September,1995,Unprovoked,Florida,M,N
467,September,1995,Unprovoked,California,M,N
468,January,1994,Unprovoked,Florida,M,N
469,December,1992,Unprovoked,Hawaii,M,N
470,September,1992,Unprovoked,Florida,M,N
471,November,1991,Unprovoked,Hawaii,M,Y
472,July,1991,Unprovoked,Florida,M,N
473,April,1991,Unprovoked,Hawaii,M,N
474,August,1990,Unprovoked,Texas,M,N
475,June,1989,Unprovoked,Hawaii,M,N
476,July,1987,Unprovoked,Texas,F,N
477,February,1985,Unprovoked,Florida,M,N
478,July,1983,Unprovoked,Florida,M,N
479,September,1981,Unprovoked,Florida,M,N
480,August,1981,Unprovoked,Florida,M,N
481,August,1978,Unprovoked,Florida,M,N
482,July,1975,Unprovoked,Florida,F,N
483,November,1973,Unprovoked,Florida,M,N
484,August,1969,Unprovoked,Florida,M,N
485,July,1967,Unprovoked,Florida,M,N
486,January,1966,Unprovoked,California,M,N
487,February,1965,Unprovoked,Massachusetts,M,N
488,July,1962,Unprovoked,South Carolina,M,N
489,August,1959,Unprovoked,Florida,M,Y
490,July,2023,Unprovoked,South Carolina,M,N
491,October,2022,Provoked,Mississippi,M,N
492,July,2022,Unprovoked,Florida,M,N
493,July,2022,Unprovoked,Florida,M,N
494,April,2022,Unprovoked,Florida,M,N
495,November,2019,Unprovoked,Florida,M,N
496,August,2019,Unprovoked,Florida,M,N
497,June,2019,Unprovoked,North Carolina,M,N
498,May,2018,Unprovoked,Florida,M,N
499,March,2018,Unprovoked,Hawaii,M,N
500,December,2017,Unprovoked,Hawaii,F,N
501,September,2017,Unprovoked,Florida,M,N
502,July,2017,Unprovoked,Washington,M,N
503,October,2016,Unprovoked,Florida,M,N
504,September,2016,Unprovoked,South Carolina,F,N
505,September,2016,Unprovoked,California,M,N
506,May,2016,Unprovoked,Hawaii,M,N
507,September,2015,Unprovoked,Florida,M,N
508,June,2015,Unprovoked,South Carolina,M,N
509,May,2015,Unprovoked,Florida,M,N
510,October,2014,Unprovoked,Florida,M,N
511,August,2014,Unprovoked,Florida,F,N
512,July,2014,Unprovoked,South Carolina,M,N
513,June,2014,Unprovoked,Delaware,M,N
514,October,2013,Unprovoked,Florida,M,N
515,August,2013,Unprovoked,California,F,N
516,June,2013,Unprovoked,South Carolina,M,N
517,June,2013,Unprovoked,Florida,F,N
518,May,2013,Unprovoked,Florida,M,N
519,April,2013,Unprovoked,Hawaii,M,N
520,May,2012,Unprovoked,Florida,F,N
521,December,2011,Unprovoked,Florida,M,N
522,September,2011,Unprovoked,Florida,M,N
523,July,2011,Unprovoked,Texas,M,N
524,August,2010,Unprovoked,North Carolina,M,N
525,July,2010,Unprovoked,South Carolina,M,N
526,April,2009,Unprovoked,Florida,M,N
527,August,2008,Unprovoked,Florida,M,N
528,May,2008,Unprovoked,North Carolina,M,N
529,July,2007,Unprovoked,California,M,N
530,July,2007,Unprovoked,North Carolina,F,N
531,July,2006,Unprovoked,Florida,M,N
532,October,2005,Unprovoked,Florida,M,N
533,June,2005,Unprovoked,Florida,M,N
534,March,2005,Provoked,New Mexico,M,N
535,September,2003,Unprovoked,Florida,M,N
536,September,2003,Unprovoked,Florida,M,N
537,April,2003,Unprovoked,Florida,M,N
538,October,2002,Unprovoked,Florida,M,N
539,June,2002,Unprovoked,Florida,M,N
540,April,2002,Unprovoked,Florida,M,N
541,March,2002,Unprovoked,Florida,F,N
542,August,2001,Unprovoked,Florida,F,N
543,August,2000,Unprovoked,Florida,M,Y
544,November,1999,Unprovoked,Florida,M,N
545,October,1997,Unprovoked,Hawaii,M,N
546,August,1997,Unprovoked,Florida,F,N
547,August,1996,Unprovoked,Florida,M,N
548,August,1995,Unprovoked,Florida,M,N
549,August,1995,Unprovoked,South Carolina,F,N
550,June,1995,Unprovoked,California,F,N
551,July,1990,Unprovoked,Florida,M,N
552,October,1988,Unprovoked,Oregon,M,N
553,October,1985,Unprovoked,Hawaii,M,N
554,February,1982,Unprovoked,Florida,F,Y
555,August,1981,Unprovoked,Florida,F,Y
556,June,1975,Unprovoked,South Carolina,M,N
557,October,1970,Unprovoked,Florida,M,N
558,October,1969,Unprovoked,Hawaii,M,N
559,April,1965,Unprovoked,Florida,M,N
560,February,1964,Unprovoked,Florida,M,N
561,July,1961,Provoked,New York,M,N
562,May,1959,Unprovoked,Florida,M,N
563,October,1958,Unprovoked,California,M,N
564,April,1955,Unprovoked,Hawaii,M,N
565,January,1953,Unprovoked,Florida,F,N
566,December,1952,Unprovoked,Hawaii,M,Y
567,May,2023,Unprovoked,Florida,M,N
568,November,2022,Unprovoked,Florida,F,N
569,June,2022,Unprovoked,Florida,F,N
570,August,2021,Unprovoked,Maryland,F,N
571,September,2020,Unprovoked,Florida,M,N
572,June,2020,Unprovoked,Florida,M,N
573,September,2019,Unprovoked,Florida,M,N
574,August,2019,Unprovoked,Florida,M,N
575,May,2019,Unprovoked,Hawaii,F,N
