Datetime,Storm_Status,Latitude,Longitude,Max_Wind,Min_Pressure,Radius_Max_Wind
20210709, TS, 40.3N,  73.1W,50.0,999.0,70.0
20210709, TS, 40.9N,  72.3W,50.0,999.0,70.0
20210709, TS, 41.4N,  71.7W,50.0,999.0,70.0
20210709, EX, 42.0N,  71.0W,45.0,999.0,70.0
20210710, EX, 44.0N,  68.3W,40.0,997.0,70.0
20210710, EX, 46.8N,  64.4W,35.0,999.0,70.0
20210809, DB, 13.9N,  58.7W,30.0,1011.0,70.0
20210810, DB, 14.6N,  60.1W,30.0,1011.0,60.0
20210810, DB, 15.3N,  61.6W,30.0,1011.0,60.0
20210810, DB, 16.0N,  63.1W,30.0,1011.0,50.0
20210810, DB, 16.7N,  64.6W,30.0,1011.0,50.0
20210811, TS, 17.3N,  66.1W,35.0,1009.0,40.0
20210811, TS, 17.7N,  67.6W,35.0,1007.0,40.0
20210811, TS, 18.0N,  69.0W,40.0,1005.0,40.0
20210811, TS, 18.4N,  70.1W,40.0,1005.0,40.0
20210811, TS, 18.5N,  70.4W,35.0,1006.0,40.0
20210812, TD, 19.2N,  71.7W,30.0,1009.0,40.0
20210812, TD, 20.0N,  72.9W,30.0,1010.0,40.0
20210812, TD, 20.5N,  73.9W,30.0,1010.0,50.0
20210812, TD, 20.9N,  74.7W,30.0,1010.0,50.0
20210813, TS, 21.2N,  75.5W,35.0,1010.0,50.0
20210813, TS, 21.6N,  76.6W,35.0,1010.0,60.0
20210813, TD, 22.0N,  77.7W,30.0,1010.0,60.0
20210813, TD, 22.3N,  79.0W,30.0,1011.0,60.0
20210814, DB, 22.5N,  80.2W,30.0,1012.0,60.0
20210814, DB, 22.7N,  81.3W,30.0,1012.0,60.0
20210814, DB, 22.9N,  82.5W,30.0,1012.0,60.0
20210814, DB, 23.3N,  83.5W,30.0,1012.0,60.0
20210815, DB, 24.1N,  84.1W,35.0,1011.0,60.0
20210815, DB, 25.0N,  84.4W,35.0,1010.0,60.0
20210815, TS, 25.7N,  84.7W,35.0,1008.0,60.0
20210815, TS, 26.4N,  85.2W,40.0,1005.0,60.0
20210816, TS, 27.0N,  85.8W,50.0,999.0,60.0
20210816, TS, 27.8N,  85.9W,50.0,996.0,50.0
20210816, TS, 28.7N,  85.7W,50.0,993.0,40.0
20210816, TS, 29.5N,  85.4W,55.0,991.0,30.0
20210816, TS, 29.7N,  85.4W,55.0,991.0,30.0
20210817, TS, 30.6N,  85.4W,45.0,998.0,30.0
20210817, TS, 31.7N,  85.4W,35.0,1004.0,50.0
20210817, TD, 32.8N,  85.2W,25.0,1006.0,60.0
