,Month,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N)
1370,November,1963,Provoked,USA,Florida,Testing anti-shark cage,M,22.0,N
1372,January,1962,Unprovoked,USA,California,Spearfishing / Scuba diving (at surface),M,29.0,N
1374,August,1961,Unprovoked,USA,Hawaii,"Net fishing, picking catch from the net",M,38.0,N
1378,July,1960,Provoked,USA,Virginia,"Fishing, tossing netted shark onboard",M,41.0,N
1380,November,1959,Unprovoked,USA,California,Swimming at surface through school of feeding 2.5' to 5’ sharks,M,21.0,N
1381,August,1959,Provoked,USA,California,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ide’s speargun & he shot it in the mouth",M,32.0,N
1386,August,1956,Unprovoked,USA,California,Swimming near pier,M,10.0,N
1387,July,1956,Provoked,USA,California,Fishing,M,38.0,N
1390,September,1955,Unprovoked,USA,California,Swimming near breakwater,M,16.0,N
1450,April,2023,Unprovoked,USA,Hawaii,Surfing,M,58.0,N
1452,August,2022,Unprovoked,USA,California,Paddleboarding,M,22.0,N
1453,July,2022,Unprovoked,USA,New York,Lifeguard Training Exercise,M,17.0,N
1459,December,2020,Unprovoked,USA,California,Swimming,M,22.0,N
1460,October,2019,Provoked,USA,Florida,Surfing,M,32.0,N
1463,November,2018,Unprovoked,USA,Florida,Surfing,M,48.0,N
1468,September,2017,Unprovoked,USA,Florida,Surfing,M,22.0,N
1471,April,2017,Unprovoked,USA,Florida,Swimming,F,51.0,N
1472,October,2016,Unprovoked,USA,Hawaii,Surfing,M,36.0,N
1473,September,2016,Unprovoked,USA,Florida,Surfing,M,16.0,N
1475,April,2016,Unprovoked,USA,Florida,Spearfishing,M,26.0,N
1477,October,2015,Unprovoked,USA,Florida,Surfing,M,21.0,N
1479,September,2015,Unprovoked,USA,Florida,Photographing fish,M,16.0,N
1480,August,2015,Provoked,USA,California,Spearfishing,M,57.0,N
1487,July,2014,Unprovoked,USA,North Carolina,Body surfing,M,22.0,N
1488,May,2014,Unprovoked,USA,Florida,Wading,F,44.0,N
1490,December,2012,Unprovoked,USA,Hawaii,Surfing,M,60.0,N
1493,March,2012,Unprovoked,USA,Florida,Kite Surfing,M,19.0,N
1494,September,2011,Unprovoked,USA,Florida,Surfing,M,25.0,N
1495,September,2011,Unprovoked,USA,Florida,Surfing,M,19.0,N
1497,July,2010,Unprovoked,USA,Texas,Fishing,M,22.0,N
1501,November,2009,Unprovoked,USA,Florida,Wading,M,10.0,N
1505,September,2008,Unprovoked,USA,Florida,Surfing,M,52.0,N
1506,July,2008,Unprovoked,USA,North Carolina,Swimming,F,14.0,N
1508,June,2008,Unprovoked,USA,South Carolina,Body surfing,F,15.0,N
1509,April,2008,Unprovoked,USA,Florida,Walking out of the water after surfing,M,18.0,N
1511,October,2007,Unprovoked,USA,California,Surfing,M,22.0,N
1512,September,2007,Unprovoked,USA,California,Surfing,M,22.0,N
1513,July,2007,Unprovoked,USA,Florida,Surfing,M,51.0,N
1516,July,2006,Unprovoked,USA,Oregon,Surfing,M,41.0,N
1520,September,2005,Unprovoked,USA,North Carolina,Wading,F,18.0,N
1529,June,2003,Unprovoked,USA,Florida,Standing,F,12.0,N
1530,April,2003,Unprovoked,USA,Florida,Surfing,M,30.0,N
1531,May,2002,Unprovoked,USA,California,Surfing,M,24.0,N
1532,April,2002,Unprovoked,USA,Florida,Wading,M,41.0,N
1534,October,2000,Unprovoked,USA,Florida,Surfing,M,23.0,N
1537,October,1999,Unprovoked,USA,Florida,Surfing,M,22.0,N
1538,August,1999,Unprovoked,USA,North Carolina,Surfing,M,22.0,N
1540,February,1999,Unprovoked,USA,Florida,Surfing,M,25.0,N
1544,August,1996,Unprovoked,USA,California,Free diving for abalone,M,36.0,N
1548,September,1994,Unprovoked,USA,Hawaii,Jumped off rocks into white water,F,12.0,N
1552,February,1992,Unprovoked,USA,Hawaii,Body boarding,M,22.0,Y
1555,February,1990,Unprovoked,USA,Florida,Board sailing,M,33.0,N
1557,September,1989,Provoked,USA,Florida,"Fishing, stepped on hooked shark's head",M,51.0,N
1559,October,1988,Unprovoked,USA,Florida,Surfing,M,15.0,N
1561,August,1988,Provoked,USA,Louisiana,Diving in Sharkey's Reef restaurant’s aquarium,M,22.0,N
1562,July,1988,Unprovoked,USA,Florida,Swimming,F,15.0,N
1564,April,1988,Unprovoked,USA,California,Surfing,M,22.0,N
1571,November,1978,Unprovoked,USA,Hawaii,Surfing,M,22.0,N
1575,July,1976,Unprovoked,USA,Florida,Spearfishing,M,24.0,N
1579,September,1970,Unprovoked,USA,Florida,Scuba diving,M,22.0,N
1582,June,1969,Unprovoked,USA,Florida,Wading,M,8.0,N
1583,May,1969,Provoked,USA,Florida,Diving,M,23.0,N
1585,March,1969,Unprovoked,USA,Hawaii,Surfing,M,16.0,N
1590,August,1964,Unprovoked,USA,Florida,Spearfishing using scuba,M,28.0,N
1607,December,1960,Unprovoked,USA,Hawaii,Swept out to sea while net fishing,M,22.0,Y
1613,May,1959,Unprovoked,USA,California,Treading water,M,18.0,Y
1620,June,1958,Provoked,USA,Florida,Wading,M,59.0,N
1623,September,1956,Unprovoked,USA,Florida,Surf fishing,M,27.0,N
1716,September,2022,Unprovoked,USA,Hawaii,Swimming  or Snorkeling,F,51.0,N
1717,July,2022,Unprovoked,USA,New York,Lifeguard Exercises,M,22.0,N
1722,December,2020,Unprovoked,USA,Oregon,Surfing,M,20.0,N
1724,August,2020,Unprovoked,USA,Florida,Surfing,M,14.0,N
1726,June,2020,Unprovoked,USA,North Carolina,Body Surfing,M,16.0,N
1729,May,2019,Unprovoked,USA,Hawaii,Surfing,M,22.0,N
1732,June,2018,Unprovoked,USA,Georgia,Standing,F,11.0,N
1738,November,2017,Unprovoked,USA,Hawaii,Surfing,M,20.0,N
1741,April,2017,Unprovoked,USA,Florida,Paddle boarding,F,10.0,N
1742,April,2017,Unprovoked,USA,Florida,Swimming,M,16.0,N
1743,September,2016,Unprovoked,USA,Florida,Wading,M,60.0,N
1745,May,2016,Unprovoked,USA,Florida,Swimming,F,11.0,N
1746,May,2016,Unprovoked,USA,Louisiana,Wading,F,33.0,N
1748,January,2016,Unprovoked,USA,Hawaii,Surfing,M,22.0,N
1749,October,2015,Unprovoked,USA,Hawaii,Body boarding,M,10.0,N
1750,August,2015,Unprovoked,USA,California,Surfing,F,54.0,N
1751,August,2015,Unprovoked,USA,California,Surfing,M,21.0,N
1756,July,2014,Unprovoked,USA,Florida,Surfing,M,14.0,N
1757,May,2014,Unprovoked,USA,Georgia,Surfing,M,12.0,N
1759,November,2013,Unprovoked,USA,Hawaii,Snorkeling,F,58.0,N
1761,October,2013,Unprovoked,USA,Hawaii,Diving,M,45.0,N
1763,November,2012,Unprovoked,USA,Hawaii,Surfing,M,43.0,N
1766,June,2012,Unprovoked,USA,Florida,Swimming,M,12.0,N
1767,June,2012,Unprovoked,USA,South Carolina,Swimming,M,16.0,N
1768,April,2012,Unprovoked,USA,Hawaii,Surfing,M,28.0,N
1772,August,2011,Unprovoked,USA,North Carolina,Surfing,M,21.0,N
1775,October,2010,Unprovoked,USA,Maine,Scuba diving,M,30.0,N
1777,July,2010,Provoked,USA,Florida,Fishing,M,22.0,N
1780,January,2010,Unprovoked,USA,Florida,Spearfishing,M,32.0,N
1783,September,2007,Unprovoked,USA,Florida,Surfing,M,23.0,N
1784,September,2007,Unprovoked,USA,Florida,Snorkeling,M,14.0,N
1786,July,2006,Unprovoked,USA,South Carolina,Body boarding,F,14.0,N
1787,June,2006,Unprovoked,USA,Florida,Surfing,M,24.0,N
1788,April,2006,Provoked,USA,Florida,Fishing,M,35.0,N
1789,January,2006,Unprovoked,USA,Florida,Surfing,M,21.0,N
1791,November,2005,Unprovoked,USA,Florida,Surfing,M,18.0,N
1792,October,2005,Unprovoked,USA,Florida,Treading water/ Surfing,M,48.0,N
1796,April,2003,Unprovoked,USA,Florida,Surfing,M,17.0,N
1797,April,2003,Unprovoked,USA,Florida,Jumping,M,11.0,N
1798,November,2002,Unprovoked,USA,Florida,Surfing,M,21.0,N
1799,July,2002,Unprovoked,USA,North Carolina,Standing,F,9.0,N
1800,June,2002,Unprovoked,USA,Florida,Swimming,F,11.0,N
1801,June,2002,Unprovoked,USA,Florida,Surfing,M,50.0,N
1802,May,2002,Unprovoked,USA,Florida,Floating on a raft,M,16.0,N
1804,September,2001,Provoked,USA,Florida,Fishing,M,44.0,N
1807,July,2001,Unprovoked,USA,Florida,Surfing,M,48.0,N
1808,July,2001,Unprovoked,USA,Florida,Boogie boarding,M,18.0,N
1813,September,2000,Unprovoked,USA,Florida,Swimming / Body surfing,M,25.0,N
1815,June,2000,Unprovoked,USA,Texas,Surfing,M,17.0,N
1816,September,1999,Unprovoked,USA,Florida,Wading with surfboard,M,39.0,N
1817,August,1999,Unprovoked,USA,Florida,Surfing,M,28.0,N
1818,August,1999,Unprovoked,USA,Florida,Body surfing,M,62.0,N
1819,July,1999,Unprovoked,USA,Hawaii,Surfing,M,43.0,N
1821,August,1997,Unprovoked,USA,Florida,Wading / Surfing,M,19.0,N
1823,September,1995,Unprovoked,USA,Florida,Surfing,M,17.0,N
1824,September,1995,Unprovoked,USA,California,Windsurfing,M,25.0,N
1826,January,1994,Unprovoked,USA,Florida,Surfing,M,22.0,N
1830,December,1992,Unprovoked,USA,Hawaii,Lying on surfboard,M,30.0,N
1832,September,1992,Unprovoked,USA,Florida,Surf fishing,M,22.0,N
1834,November,1991,Unprovoked,USA,Hawaii,"Fishing from rocks, swept out to sea by large wave & treading water",M,22.0,Y
